Log Entry : 12/17/2019 11:14:13 | Message : Application Started
Log Entry : 12/17/2019 11:15:01 | Message : Application Ended
Log Entry : 12/17/2019 11:17:30 | Message : Application Started
Log Entry : 12/17/2019 11:18:57 | Message : Application Ended
Log Entry : 12/17/2019 11:18:58 | Message : Application Started
Log Entry : 12/17/2019 11:19:01 | Message : Application Ended
Log Entry : 12/17/2019 11:51:27 | Message : Application Started
Log Entry : 12/17/2019 11:51:27 | Message : Application Ended
Log Entry : 12/17/2019 11:51:28 | Message : Application Started
Log Entry : 12/17/2019 11:51:29 | Message : Application Ended
Log Entry : 12/17/2019 11:51:56 | Message : Application Started
Log Entry : 12/17/2019 11:51:56 | Message : Application Ended
Log Entry : 12/17/2019 11:51:57 | Message : Application Started
Log Entry : 12/17/2019 11:51:57 | Message : Application Ended
Log Entry : 12/17/2019 11:52:58 | Message : Application Started
Log Entry : 12/17/2019 11:53:30 | Message : Application Ended
Log Entry : 12/17/2019 11:53:31 | Message : Application Started
Log Entry : 12/17/2019 11:53:35 | Message : Application Ended
Log Entry : 12/17/2019 15:33:33 | Message : Application Started
Log Entry : 12/17/2019 15:33:36 | Message : Application Ended
Log Entry : 12/17/2019 15:37:16 | Message : Application Started
Log Entry : 12/17/2019 15:37:17 | Message : Application Ended
Log Entry : 12/17/2019 15:38:00 | Message : Application Started
Log Entry : 12/17/2019 15:38:52 | Message : Application Ended
Log Entry : 12/17/2019 15:39:44 | Message : Application Started
Log Entry : 12/17/2019 15:41:02 | Message : Application Ended
Log Entry : 12/17/2019 15:44:10 | Message : Application Started
Log Entry : 12/17/2019 15:44:31 | Message : Application Ended
Log Entry : 12/17/2019 15:44:39 | Message : Application Started
Log Entry : 12/17/2019 15:44:49 | Message : Application Ended
Log Entry : 12/17/2019 16:18:50 | Message : Application Started
Log Entry : 12/17/2019 16:18:51 | Message : Application Ended
Log Entry : 12/17/2019 16:19:09 | Message : Application Started
Log Entry : 12/17/2019 16:19:11 | Message : Index was outside the bounds of the array.
Log Entry : 12/17/2019 16:19:11 | Message : Application Ended
